DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Summary Level,State,State FIPS,Insured Males 18-25,Noninsured Males 18-25,Females 18-25 with Insurance,Females 18-25 without insurance
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,91,"32,963.07","5,777.24","4,763.73",40,AL,1,"173,849","58,849","188,498","48,144"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,23,"34,805.13","8,401.95","6,413.78",40,AK,2,"26,917","12,275","25,692","8,152"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,11,"34,803.81","7,768.90","6,951.45",40,AZ,4,"233,098","92,136","245,929","72,752"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,FAYETTEVILLE,AR,72703,AR - Springdale,39,"30,470.56","5,811.56","4,372.61",40,AR,5,"101,489","40,199","105,642","34,898"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,CA - Redding,48,"44,664.45","8,227.14","6,936.52",40,CA,6,"1,458,114","515,578","1,511,793","403,457"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60001,NORTH COLORADO MEDICAL CENTER,1801 16TH STREET,GREELEY,CO,80631,CO - Greeley,16,"33,135.68","8,359.12","5,379.06",40,CO,8,"199,090","55,076","203,107","41,910"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,70001,HOSPITAL OF ST RAPHAEL,1450 CHAPEL ST,NEW HAVEN,CT,6511,CT - New Haven,50,"18,103.18","8,099.68","7,112.92",40,CT,9,"145,369","25,759","149,262","17,433"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DC,20037,DC - Washington,11,"57,137.45","10,582.81","8,871.00",40,DC,11,"31,771","3,712","42,265","2,042"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,80001,"CHRISTIANA CARE HEALTH SERVICES, INC.",4755 OGLETOWN-STANTON ROAD,NEWARK,DE,19718,DE - Wilmington,90,"14,336.66","7,494.76","6,071.21",40,DE,10,"37,479","6,340","40,390","4,704"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,100002,BETHESDA MEMORIAL HOSPITAL,2815 S SEACREST BLVD,BOYNTON BEACH,FL,33435,FL - Fort Lauderdale,23,"40,686.73","6,523.78","5,339.82",40,FL,12,"580,489","289,512","624,879","235,730"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,110003,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,11,"12,835.72","5,754.72","4,840.18",40,GA,13,"332,222","150,431","365,087","127,014"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,24,"27,809.95","10,982.04","6,846.87",40,HI,15,"52,312","7,891","53,557","5,430"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,130002,ST LUKES MAGIC VALLEY RMC,801 POLE LINE ROAD WEST,TWIN FALLS,ID,83301,ID - Boise,18,"10,584.16","6,377.66","4,856.22",40,ID,16,"57,401","19,836","58,865","16,575"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,IL - Joliet,71,"27,179.09","7,542.92","4,876.67",40,IL,17,"482,287","134,031","515,428","93,635"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,150002,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402,IN - Gary,24,"34,741.50","6,980.20","6,088.04",40,IN,18,"255,338","74,975","266,344","58,550"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,160016,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,FORT DODGE,IA,50501,IA - Des Moines,26,"18,783.42","5,945.69","5,041.23",40,IA,19,"138,433","22,195","136,977","16,890"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,SALINA,KS,67401,KS - Wichita,26,"25,457.84","6,075.57","5,082.80",40,KS,20,"118,714","29,476","117,297","24,395"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180009,KING'S DAUGHTERS' MEDICAL CENTER,2201 LEXINGTON AVENUE,ASHLAND,KY,41101,WV - Huntington,57,"32,284.56","6,790.47","5,410.59",40,KY,21,"160,136","47,577","167,401","38,585"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,190002,LAFAYETTE GENERAL MEDICAL CENTER,1214 COOLIDGE AVENUE,LAFAYETTE,LA,70503,LA - Lafayette,45,"20,048.35","6,914.91","4,895.40",40,LA,22,"157,150","66,874","178,096","53,227"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,200009,MAINE MEDICAL CENTER,22 BRAMHALL ST,PORTLAND,ME,4102,ME - Portland,91,"11,722.21","7,322.59","5,794.60",40,ME,23,"46,375","10,982","48,145","7,532"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,210001,MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,HAGERSTOWN,MD,21742,DC - Washington,28,"6,495.89","6,106.14","5,225.85",40,MD,24,"229,283","43,452","240,337","33,030"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,MA,1453,MA - Worcester,14,"14,929.42","7,414.42","6,365.57",40,MA,25,"318,098","24,420","332,676","16,072"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230004,"MERCY HEALTH PARTNERS, MERCY CAMPUS",1500 E SHERMAN BOULEVARD,MUSKEGON,MI,49444,MI - Muskegon,53,"18,694.90","6,323.88","5,303.03",40,MI,26,"403,180","94,184","419,547","69,359"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,240001,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,ROBBINSDALE,MN,55422,MN - Minneapolis,23,"28,847.95","6,678.91","6,046.04",40,MN,27,"217,254","36,302","222,793","25,112"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,250001,UNIVERSITY OF MISSISSIPPI MED CENTER,2500 N STATE ST,JACKSON,MS,39216,MS - Jackson,11,"20,600.18","10,017.36","6,677.54",40,MS,28,"100,122","48,272","112,631","39,120"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,260001,ST JOHN'S REGIONAL MEDICAL CENTER,2817 ST JOHNS BLVD,JOPLIN,MO,64801,MO - Joplin,56,"15,148.83","5,800.48","4,800.37",40,MO,29,"218,737","67,102","234,572","54,658"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,270004,BILLINGS CLINIC HOSPITAL,2800 10TH AVE N,BILLINGS,MT,59101,MT - Billings,33,"14,227.39","6,339.30","5,452.27",40,MT,30,"36,441","13,874","36,595","10,462"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,280003,BRYANLGH MEDICAL CENTER,1600 SOUTH 48TH ST,LINCOLN,NE,68506,NE - Lincoln,48,"23,809.12","6,537.50","4,875.52",40,NE,31,"76,596","17,300","77,384","14,400"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,290001,RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,89502,NV - Reno,73,"23,482.86","6,807.83","5,715.24",40,NV,32,"85,375","38,905","90,251","32,242"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,300001,CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,NH,3301,NH - Manchester,19,"28,318.15","7,040.52","5,521.89",40,NH,33,"53,219","10,318","54,275","8,319"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,47,"46,364.04","7,874.87","6,641.76",40,NJ,34,"314,748","82,206","319,177","61,452"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,320009,LOVELACE MEDICAL CENTER,601 DR MARTIN LUTHER KING JR AVE NE,ALBUQUERQUE,NM,87102,NM - Albuquerque,18,"26,606.38","5,945.00","4,940.55",40,NM,35,"69,903","33,233","73,194","26,623"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,NY - Buffalo,23,"27,984.39","7,567.39","6,636.43",40,NY,36,"816,499","159,157","863,164","115,886"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340001,CAROLINAS MEDICAL CENTER-NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,NC - Charlotte,58,"26,855.27","6,984.60","5,173.44",40,NC,37,"343,969","122,072","370,747","97,720"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,350002,ST ALEXIUS MEDICAL CENTER,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,29,"12,795.10","6,032.34","5,213.72",40,ND,38,"39,054","6,446","36,083","5,303"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,OH - Columbus,59,"30,554.45","6,823.81","5,235.22",40,OH,39,"443,929","100,999","470,101","71,334"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,370001,HILLCREST MEDICAL CENTER,1120 SOUTH UTICA AVENUE,TULSA,OK,74104,OK - Tulsa,42,"22,767.52","7,645.50","6,358.42",40,OK,40,"130,796","58,477","138,372","48,006"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,380002,THREE RIVERS COMMUNITY HOSPITAL,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,OR - Medford,14,"24,885.71","6,234.78","5,597.07",40,OR,41,"140,917","40,669","144,999","33,178"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,390001,COMMUNITY MEDICAL CENTER,1822 MULBERRY STREET,SCRANTON,PA,18510,PA - Scranton,29,"19,793.68","5,969.65","4,651.10",40,PA,42,"515,159","97,160","538,569","72,737"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2902,RI - Providence,43,"23,619.86","9,262.11","8,123.53",40,RI,44,"47,961","9,536","51,249","7,877"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,420002,PIEDMONT MEDICAL CENTER,222 S HERLONG AVE,ROCK HILL,SC,29730,NC - Charlotte,42,"22,432.35","6,490.71","5,192.85",40,SC,45,"169,817","59,090","182,617","48,861"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,430012,AVERA SACRED HEART HOSPITAL,501 SUMMIT,YANKTON,SD,57078,SD - Sioux Falls,23,"12,715.56","6,551.73","5,719.21",40,SD,46,"32,991","9,001","32,975","7,176"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,44,"19,872.77","6,355.88","4,957.81",40,TN,47,"232,905","72,655","254,420","54,176"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,450651,MEDICAL CENTER OF PLANO,3901 W 15TH ST,PLANO,TX,75075,TX - Dallas,14,"43,531.42","5,994.00","5,111.42",40,TX,48,"848,005","481,716","883,646","418,602"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,460001,UTAH VALLEY REGIONAL MEDICAL CENTER,1034 NORTH 500 WEST,PROVO,UT,84604,UT - Provo,17,"14,939.52","7,567.00","3,912.41",40,UT,49,"130,500","33,241","135,511","28,261"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,470003,FLETCHER ALLEN HOSPITAL OF VERMONT,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,57,"17,934.35","9,290.80","7,936.03",40,VT,50,"30,716","3,406","29,822","2,458"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,15,"14,720.40","6,580.86","5,679.53",40,VA,51,"301,299","80,062","326,920","65,758"
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,500005,VIRGINIA MASON MEDICAL CENTER,1100 NINTH AVENUE (PO BOX 900),SEATTLE,WA,98111,WA - Seattle,18,"16,989.61","8,133.77","6,392.94",40,WA,53,"251,603","76,275","257,711","59,789"
312 - SYNCOPE & COLLAPSE,510001,WEST VIRGINIA UNIVERSITY HOSPITALS,MEDICAL CENTER DRIVE,MORGANTOWN,WV,26506,WV - Morgantown,82,"11,419.40","5,770.50","4,986.35",40,WV,54,"66,367","19,536","66,645","16,120"
312 - SYNCOPE & COLLAPSE,520004,"MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR, INC",700 WEST AVE S,LA CROSSE,WI,54601,WI - La Crosse,15,"16,151.86","4,792.53","4,044.26",40,WI,55,"230,742","47,132","239,958","34,092"
312 - SYNCOPE & COLLAPSE,530010,LANDER REGIONAL HOSPITAL,1320 BISHOP RANDALL DR,LANDER,WY,82520,WY - Casper,11,"14,059.72","5,657.00","4,742.45",40,WY,56,"22,681","6,610","21,497","5,044"
312 - SYNCOPE & COLLAPSE,10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,FL - Pensacola,11,"17,448.45","3,784.72","2,967.27",40,AL,1,"173,849","58,849","188,498","48,144"
312 - SYNCOPE & COLLAPSE,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,19,"24,567.21","7,239.31","6,476.57",40,AK,2,"26,917","12,275","25,692","8,152"
312 - SYNCOPE & COLLAPSE,30126,ARIZONA REGIONAL MEDICAL CENTER,515 NORTH MESA DRIVE,MESA,AZ,85201,AZ - Mesa,25,"17,262.76","4,547.48","3,691.00",40,AZ,4,"233,098","92,136","245,929","72,752"
312 - SYNCOPE & COLLAPSE,40137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,AR - Little Rock,14,"11,439.64","3,690.42","2,652.00",40,AR,5,"101,489","40,199","105,642","34,898"
948 - SIGNS & SYMPTOMS W/O MCC,50763,SILVER LAKE MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,CA,90026,CA - Los Angeles,18,"21,002.55","7,258.33","6,259.22",40,CA,6,"1,458,114","515,578","1,511,793","403,457"
948 - SIGNS & SYMPTOMS W/O MCC,60119,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,LOVELAND,CO,80538,CO - Greeley,12,"15,473.00","3,593.66","2,847.00",40,CO,8,"199,090","55,076","203,107","41,910"
948 - SIGNS & SYMPTOMS W/O MCC,70039,MASONIC HOME AND HOSPITAL,22 MASONIC AVE,WALLINGFORD,CT,6492,CT - New Haven,45,"3,884.28","4,446.17","3,580.42",40,CT,9,"145,369","25,759","149,262","17,433"
948 - SIGNS & SYMPTOMS W/O MCC,90011,WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DC,20010,DC - Washington,46,"22,828.63","6,200.73","5,096.17",40,DC,11,"31,771","3,712","42,265","2,042"
948 - SIGNS & SYMPTOMS W/O MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,15,"25,384.40","6,238.33","5,150.53",40,DE,10,"37,479","6,340","40,390","4,704"
948 - SIGNS & SYMPTOMS W/O MCC,100307,ST VINCENT'S MEDICAL CENTER SOUTHSIDE,4201 BELFORT RD,JACKSONVILLE,FL,32216,FL - Jacksonville,16,"19,603.06","3,567.00","2,936.25",40,FL,12,"580,489","289,512","624,879","235,730"
948 - SIGNS & SYMPTOMS W/O MCC,110230,EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,JOHNS CREEK,GA,30097,GA - Atlanta,13,"9,852.76","3,688.61","2,992.00",40,GA,13,"332,222","150,431","365,087","127,014"
